Content,Actual_Label,Predicted_Label
"Wakil Presiden Gibran Rakabuming Raka mengungkapkan isi pembicaraan saat makan siang bersama dua Pakubuwono (PB) XIV, yakni PB XIV Purbaya dan PB XIV Mangkubumi, di Kota Solo, Jumat (16/1). Gibran menjelaskan kedatangannya ke Solo awalnya untuk menghadiri pernikahan sepupunya, Adinda Istiqfarinna. Setelah itu, ia melaksanakan salat Jumat di Masjid Agung Solo sebelum melanjutkan makan siang bersama sejumlah tokoh Keraton Kasunanan Surakarta. ""Hari ini setelah menghadiri ijab kabul saudara saya, kita jumatan. (Ada) Pak Wali, Gusti Ngabehi, Gusti Purboyo, Gusti Tedjowulan semua,"" ujar Gibran kepada awak media. Makan siang tersebut berlangsung di sebuah rumah makan yang lokasinya tidak jauh dari Masjid Agung Solo. Dalam suasana santai sambil menyantap hidangan sate dan tongseng, Gibran mengaku membahas berbagai hal terkait kondisi Kota Solo dan Keraton Kasunanan Surakarta. ""Lalu tadi kita makan sate, tongseng sebentar, sambil membicarakan kondisi Kota Solo dan juga Keraton,"" ucapnya. Dalam kesempatan itu, Gibran juga menitipkan pesan agar kondusivitas Kota Solo terus dijaga. Ia meminta pemerintah daerah dan pihak terkait untuk merawat aset-aset yang telah dibangun serta menjaga kekayaan budaya yang dimiliki Solo. ""Kami titip ke Pak Wali, mohon selalu dijaga kondusifitasnya, aset-aset yang sudah terbangun mohon bisa ter-maintain dengan baik. Kota Solo yang kaya akan kebudayaan tolong dijaga semua, intinya itu,"" kata Gibran. Sebelumnya diberitakan, makan siang tersebut dilakukan usai salat Jumat di Masjid Agung Solo. Gibran bersama rombongan kemudian berjalan menuju rumah makan Sate Kambing Pak Joko yang berada di sisi barat masjid. Dalam perjalanan menuju lokasi, Gibran menyempatkan diri menyapa warga. Ia terlihat berjabat tangan dan melayani permintaan foto bersama dari masyarakat. Setibanya di rumah makan, Gibran duduk berdampingan dengan PB XIV Mangkubumi, PB XIV Purbaya, serta Mahamenteri KGPA Tedjowulan. Baca selengkapnya di sini .",Politik,Peristiwa
"Menteri Kebudayaan (Menbud) Fadli Zon menegaskan bahwa pemerintah tak ikut campur dalam urusan internal soal dualisme kepemimpinan Keraton Solo antara SISKS Pakubuwono XIV Purbaya maupun SISKS Pakubuwono XIV Mangkubumi. Dalam rapat di Komisi X DPR, Fadli menegaskan kehadirannya beberapa waktu lalu ke kompleks Keraton hanya untuk urusan pemeliharaan cagar budaya. ""Kita intervensi terutama untuk cagar budayanya, tapi bukan untuk yang terkait dengan urusan internal keraton keluarga,"" ujar Fadli dalam rapat, Rabu (21/1). Pada kesempatan itu, Fadli sekaligus meluruskan polemik pemberian SK Menteri Kebudayaan tentang Pemanfaatan Cagar Budaya Keraton Surakarta. Menurut Fadli, SK itu sebelumnya diserahkan atas nama pribadi. Ke depan, pihaknya ingin ada pertanggungjawaban dalam pengelolaan kompleks maupun museum Keraton Solo. Oleh karenanya, dia menunjuk penanggung jawab, yakni Gusti Tedjowulan sebagai penerima mandat dari Kementerian Kebudayaan. ""Beliau termasuk salah satu yang senior dan juga kita anggap bisa menjadi fasilitator dan bersedia untuk menjadi pelaksana atas nama pemerintah pusat,"" ujar Fadli. Sebagai cagar budaya, Fadli menilai Keraton Solo tetap harus dijaga dan dipelihara. Apalagi, dia mendengar sebelumnya ada aksi saling gembok museum, serta beberapa area yang tidak terawat. ""Karena ada aksi saling menggembok dan lain-lain, bahkan kita udah membuat revitalisasi museum baru 25 persen, setelah itu digembok lagi jadi belum selesai juga ini museumnya,"" ujar dia. Di waktu yang sama, SISKS, Pakubuwono XIV Purbaya dan keluarga menemui Wakil Ketua DPR Sufmi Dasco Ahmad di kompleks parlemen. Purbaya datang bersama ibunya, Gusti Kanjeng Ratu (GKR) Asih Winarni dan sang kakak Gusti Kanjeng Ratu Anom Sekarjati. Mereka diterima Dasco di ruang pimpinan DPR, ditemani Ketua MPR Ahmad Muzani. ""Kami di sini berniat bersilaturahmi diberikan masukan-masukan juga tetap supaya nanti keraton bisa tetap berjalan dengan baik dan selalu pasti ada musyawarah,"" ujar Purbaya usai pertemuan.",Peristiwa,Politik
"Ketua Komisi III DPR RI Habiburokhman mengaku mendengar informasi jika keluarga penjambret meminta uang kerahiman kepada pihak Hogi Minaya yang dijadikan tersangka oleh Polresta Sleman, DIY. Hogi sebelumnya ditetapkan sebagai tersangka usai dua penjambret istrinya meninggal karena ditabrak usai dikejar dirinya yang memakai mobil. Hal itu disampaikan Habiburokhman saat membuka rapat Komisi III DPR dengan jajaran Kapolresta dan Kajari Sleman di kompleks parlemen, Jakarta, Rabu (28/1). Saat membuka rapat itu, Habiburokhman mengaku telah berkomunikasi dengan Jampidum Kejagung untuk mencari solusi dari peristiwa itu. Solusinya adalah penerapan keadilan restoratif ( restorative justice/ RJ). ""Saya katakan bagaimana itu solusinya, pak? 'Solusinya RJ. Tapi ada keluarga korban keluarga penjambret ini kuasa hukumnya ada tuntutan semacam uang kerahiman'. Astagfirullah , ini orang sudah kebalik-balik logikanya, pak,"" kata Habiburokhman dalam rapat di Komisi III DPR itu. Menurutnya, kasus itu bisa dihentikan demi hukum, tidak perlu penerapan RJ. Habib mengatakan RJ bisa membuka kemungkinan adanya pemerasan lagi. ""Saya ngomong dengan Pak Jampidum, udah pak saya bilang KUHAP baru ada solusinya, 65 huruf m, jelas, bisa dihentikan demi hukum, nggak perlu RJ kalau begini. Bagaimana kita mengizinkan kalau kembali, nanti bisa diperas lagi ini. Sudah jadi korban, jadi tersangka, diperas lagi, astagfirullah, "" ujar politikus Gerindra itu. Dalam kesempatan yang sama, Kepala Kejaksaan Negeri (Kajari) Sleman, Bambang Yuniarto menjelaskan kuasa hukum penjambret meminta biaya seperti pengantaran jenazah hingga pemakaman diganti. Namun, dalam kesempatan itu, Bambang tak menjelaskan lugas soal angka nominal yang diminta kepada pihak Hogi. ""Biaya-biaya yang timbul seperti mengantar jenazah dari Jogja ke Palembang, biaya ambulans, biaya pemakaman. Dia tidak menyebut nilai. Selanjutnya pada pertemuan tanggal 27 kemarin, antara kuasa hukum sepakat mau bertemu empat mata besok di kantor Kejaksaan Negeri Sleman,"" kata Bambang.",Politik,Hukum Kriminal
"Anggota Komisi III DPR, Nasir Djamil mendesak agar bencana banjir hingga longsor di Aceh, Sumatera Utara, dan Sumatera Barat segera ditetapkan Presiden Prabowo Subianto sebagai bencana nasional. Nasir yang merupakan legislator dari dapil Aceh itu menyebut kondisi warga di wilayahnya kini kian memprihatinkan. Menurut dia, banjir telah menyebabkan banyak keluarga terjebak, akses darat terputus, dan distribusi bantuan belum mampu menjangkau seluruh titik terdampak. ""Jika tidak segera ditetapkan sebagai bencana nasional, saya khawatir jumlah korban akan terus bertambah. Dengan kerendahan hati, saya meminta dan mendorong Presiden Prabowo Subianto untuk menetapkan status tersebut,"" ujar Nasir dalam keterangannya, Jumat (28/11). Dia mengatakan langkah penanganan akan terhambat apabila pemerintah pusat tak kunjung menetapkan status bencana nasional. Akses jalur darat yang putus di beberapa wilayah menyebabkan kelangkaan kebutuhan pokok yang memperparah kondisi warga. Nasir menilai kondisi banjir di tiga provinsi itu telah memenuhi indikator yang diatur dalam regulasi kebencanaan Indonesia. Dia merujuk pada UU Nomor 24 Tahun 2007 tentang Penanggulangan Bencana, Peraturan Pemerintah Nomor 21 Tahun 2008 tentang Penyelenggaraan Penanggulangan Bencana, serta Peraturan Presiden Nomor 17 Tahun 2018 tentang Penyelenggaraan Penanggulangan Bencana dalam Keadaan Tertentu. Menurut dia, penetapan bencana nasional dapat dilakukan apabila terdapat korban dalam jumlah besar, kerugian material yang signifikan, cakupan wilayah terdampak yang luas lintas daerah, terganggunya fungsi pelayanan publik dan pemerintahan, serta menurunnya kemampuan daerah dalam menangani bencana. ""Melihat situasi banjir yang terjadi di banyak provinsi, kondisi tersebut telah dengan jelas memenuhi unsur-unsur yang disebutkan dalam peraturan tersebut,"" katanya. Di Sumatra Utara, status tanggap darurat diberlakukan selama 14 hari setelah lebih dari sepuluh kabupaten dan kota terdampak bencana. Aceh juga berada dalam masa tanggap darurat selama 14 hari setelah banjir dan longsor menerjang 16 kabupaten dan kota. Lebih dari 119 ribu jiwa terdampak, lebih dari 20 ribu warga mengungsi, dan korban meninggal serta hilang masih dilaporkan. Di Sumatra Barat, banjir bandang dan longsor melanda beberapa wilayah seperti Kota Solok dan Kabupaten Agam, dengan ratusan keluarga mengungsi dan korban meninggal yang terus ditemukan tim SAR.",Politik,Peristiwa
"Dua orang tewas dan tiga lainnya terluka dalam kecelakaan tabrak lari di di Jalan Tanah Sereal IV, Tambora , Jakarta Barat, Jumat (2/1). Kepala Unit (Kanit) Penegakan Hukum (Gakkum) Satlantas Polres Metro Jakarta Barat AKP Joko Siswanto mengatakan insiden itu terjadi sekitar pukul 02.20 WIB. ""Telah terjadi kecelakaan lalu lintas dengan korban meninggal dunia dan luka-luka di Jalan Tanah Sereal IV, dekat Indomaret, wilayah Tambora, Jakarta Barat,"" kata Joko saat dikonfirmasi di Jakarta, Jumat. Dia menjelaskan kecelakaan itu bermula saat mobil minibus yang nomor polisi dan identitas pengemudinya belum diketahui melaju dari arah selatan menuju utara di Jalan Tanah Sereal IV. Setibanya di dekat mini market di daerah Tanah Sereal, mobil tersebut menabrak sepeda motor yang dikendarai remaja bernama Rai (17) yang juga tengah melaju searah dengan mobil tersebut. ""Saat itu, Rai sedang berboncengan tiga dengan dua rekannya, yaitu Valentino (19) dan Alfinza (16),"" ujar Joko. Setelah menabrak motor pertama, pengemudi mobil tersebut tidak berhenti dan malah menambah kecepatan untuk melarikan diri, dan kemudian menabrak kendaraan lain serta pejalan kaki. ""Selanjutnya, menabrak kendaraan motor Honda PCX yang dikendarai saudara Satrio, dan selanjutnya menabrak pejalan kaki atas nama Devran yang berjalan searah di depannya,"" ucap Joko. Akibat tabrakan itu, dua remaja dilaporkan meninggal dunia, yaitu Valentino, penumpang yang dibonceng di motor pertama, dan Satrio, pengendara motor Honda PCX yang ditabrak berikutnya. Valentino sempat dilarikan ke rumah sakit, namun nyawanya tidak tertolong dan meninggal dalam perawatan medis di RSUD Tarakan. ""Sementara saudara Satrio mengalami luka pada kepala, kaki, dan tangan memar, meninggal dunia di TKP (tempat kejadian perkara). Jenazah dievakuasi ke RSUD Kabupaten Tangerang,"" ungkap Joko. Sementara itu, tiga korban lainnya masih menjalani perawatan intensif di RSUD Tarakan akibat luka memar pada bagian kepala, tangan, dan kaki. Sampai dengan saat ini, polisi masih memburu pengemudi mobil minibus yang melarikan diri setelah kejadian tersebut. Barang bukti berupa satu unit sepeda motor Suzuki Smash bernomor polisi B-6388-CKC dan satu unit motor Honda PCX tanpa pelat nomor yang ringsek telah diamankan oleh petugas. ""Penyebab kecelakaan masih dalam proses penyelidikan. Identitas kendaraan mobil minibus juga belum diketahui,"" kata Joko.",Hukum Kriminal,Peristiwa
"Satgas Penertiban Kawasan Hutan (PKH) mendalami dugaan tindak pidana yang dilakukan oleh 28 perusahaan yang diduga menjadi 'biang kerok' bencana hidrometerologi banjir dan longsor di Sumatra. Ketua Harian Satgas PKH Febrie Adriansyah mengatakan pendalaman dilakukan setelah Presiden Prabowo Subianto resmi mencabut izin pemanfaatan hutan. ""Sekarang sedang didalami, baru selesai rapat kemarin. Tindak lanjut akan kita umumkan, proses pidananya sedang kita dalami,"" ujarnya kepada wartawan, dikutip Kamis (22/1). Sebelumnya Presiden Prabowo Subianto resmi mencabut izin 28 perusahaan yang terbukti melakukan pelanggaran kerusakan hutan dan memicu bencana banjir di Pulau Sumatra. Dari total perizinan yang dicabut, sebanyak 22 perusahaan masuk dalam kategori perusahaan berusaha pemanfaatan hutan atau PBPH hutan alam dan hutan tanaman seluas 1.010.592 hektare. Sementara itu, sebanyak 6 perusahaan masuk dalam kategori perusahaan di bidang tambang, perkebunan, dan perizinan berusaha pemanfaatan hasil hutan kayu (PBPHHK). Sementara itu, Kementerian Lingkungan Hidup juga mencabut persetujuan lingkungan yang sebelumnya telah dikeluarkan terhadap 28 perusahaan yang diduga menjadi penyebab bencana hidrometerologi banjir dan longsor di Sumatra. Wakil Menteri Lingkungan Hidup Diaz Hendropriyono menyebut pencabutan persetujuan itu dilakukan sebagai tindak lanjut keputusan Presiden Prabowo Subianto yang telah menarik kembali perizinan pemanfaatan hutan (PPBH). Diaz menjelaskan dari temuan yang ada, didapati bukti kuat bahwa para perusahaan itu gagal memenuhi kewajiban yang tertuang dalam UU Nomor 32 Tahun 2009 tentang Perlindungan dan Pengelolaan Lingkungan Hidup serta Peraturan Pemerintah Nomor 22 Tahun 2021. ""Ditemukan indikasi kuat bahwa aktivitas perusahaan tersebut secara signifikan memperparah dampak bencana hidrometeorologi yang merugikan masyarakat luas,"" tuturnya. ""Seluruh perusahaan tersebut kini kehilangan legalitas operasionalnya dari sisi lingkungan sebagai konsekuensi atas pelanggaran yang dilakukan,"" imbuhnya.",Hukum Kriminal,Politik
"Tim SAR gabungan berpacu dengan waktu untuk segera menemukan dan mengevakuasi seluruh korban kecelakaan pesawat ATR 42-500 di Gunung Bulusaraung, Desa Tompo Bulu, Kecamatan Ballocci, Kabupaten Pangkep, Sulawesi Selatan. Penemuan dan evakuasi korban idealnya dilakukan tidak melewati waktu tiga hari setelah kecelakaan atau golden time. Dalam konteks evakuasi, golden time tiga hari ini adalah waktu paling krusial menemukan dan mengevakuasi korban sebelum situasi semakin berbahaya. ""Kurang dari 24 jam sejak kejadian, tim SAR gabungan sudah berhasil menemukan lokasi jatuhnya pesawat. Saat ini kami memaksimalkan golden time pencarian, dengan harapan besar seluruh korban dapat ditemukan dan dievakuasi, khususnya dalam kondisi selamat,"" kata Kepala Basarnas RI, Marsekal Madya TNI Mohammad Syafii, Senin (19/1). Saat ini, kata Syafii tim SAR gabungan telah menemukan dua orang korban berjenis kelamin laki-laki dan perempuan sejak dilakukan operasi setelah ada laporan hilang kontak pesawat tersebut pada Sabtu (17/1). ""Perlu kami tegaskan bahwa proses identifikasi korban bukan menjadi kewenangan Basarnas, dan akan dilakukan oleh instansi yang berwenang sesuai prosedur,"" ungkapnya. Menurut Syafii, rata-rata korban ditemukan sekitar 200 meter hingga 500 meter dari puncak Gunung Bulusaraung. Tim SAR gabungan harus ekstra hati-hati dan menerapkan teknik evakuasi khusus. ""Tantangan terbesar yang dihadapi tim SAR gabungan saat ini adalah kondisi cuaca dan alam yang sangat ekstrem. Kabut tebal, medan terjal, serta perubahan cuaca yang cepat menjadi faktor penghambat utama dalam operasi,"" jelasnya. Syafii menegaskan bahwa Basarnas memprioritaskan evakuasi para korban melalui udara. Namun, langkah tersebut terhalang jarak pandang terbatas akibat kabut tebal di sekitar lokasi kejadian. ""Evakuasi melalui udara menjadi prioritas, tetapi hingga saat ini belum memungkinkan. Oleh karena itu, kami mengoptimalkan unsur darat yang secara bertahap melakukan pencarian dan upaya evakuasi,"" katanya. Saat ini, kata Syafii proses evakuasi masih terus berlangsung dan pencarian terhadap korban akan terus dilakukan, dengan memaksimalkan tim rescue darat yang telah mengenal dan menguasai jalur sementara terus berupaya menembus medan untuk menjangkau seluruh titik yang diduga menjadi lokasi korban. ""Ini adalah misi kemanusiaan. Seluruh personel SAR gabungan bekerja dengan penuh dedikasi, kehati-hatian, dan semangat kebersamaan,"" katanya.",Hukum Kriminal,Peristiwa
"Pengamat sekaligus Co-Founder Institute for Security and Strategic Studies (ISESS), Khairul Fahmi menyoroti langkah pemerintah yang tengah berupaya menyelaraskan kebutuhan TNI akan alat utama sistem senjata ( alutsista ) dengan kemampuan industri dalam negeri. Hal Ini dilakukan agar pengadaan tidak hanya memenuhi kebutuhan jangka pendek, tetapi juga memperkuat kapasitas produksi industri pertahanan dalam negeri secara nasional. ""Pemerintah mendorong agar industri pertahanan, baik BUMN maupun swasta, tidak berhenti pada fungsi perakitan. Arah kebijakannya adalah mendorong penguasaan teknologi, peningkatan kualitas SDM, dan penguatan rantai pasok dalam negeri secara bertahap dan berkelanjutan,"" kata Fahmi mengutip Antara , Jumat (23/1). Menurut Fahmi, salah satu tantangan utama mengembangkan industri pertahanan dalam negeri yakni memastikan kemandirian tidak berhenti pada tingkat perakitan. Dia menilai pengembangan industri pertahanan harus sesuai dengan UU Industri Pertahanan yang secara eksplisit mengamanatkan penguasaan teknologi, penguatan rantai pasok dalam negeri, serta peningkatan kualitas SDM sebagai tujuan jangka panjang. Dari segi fiskal, Fahmi menilai pembiayaan industri pertahanan tidak dapat sepenuhnya bergantung pada anggaran dan pendapatan belanja negara (APBN) saja. Menurut dia, anggaran pertahanan juga harus mengakomodasi pemeliharaan alutsista, kesiapan operasional, dan belanja rutin lainnya. Karena itu, kebijakan pemerintah mendorong pemanfaatan skema pembiayaan alternatif merupakan langkah rasional dan sesuai dengan praktik internasional. Saat ini pemerintah mulai mendorong skema pembiayaan alternatif. Salah satunya melalui kerja sama dengan perbankan nasional, khususnya bank BUMN, untuk mendukung pembiayaan proyek industri pertahanan. ""Dukungan sektor keuangan terhadap industri pertahanan sudah mulai terlihat, terutama dari perbankan nasional dan bank BUMN. Beberapa skema pembiayaan dan kerja sama sudah dijajaki untuk mendukung industri strategis ini,"" jelas Fahmi. Terpisah, Direktur Teknik PT Nanggala Kencana Rekatama Indonesia (PT NKRI), Zaenal, menekankan bahwa pengalaman historis Indonesia menunjukkan risiko dari ketergantungan terhadap pemasok asing, termasuk potensi embargo dan gangguan rantai pasok akibat konflik geopolitik. Karenanya, dia mendorong adanya kemandirian industri pertahanan untuk menciptakan sistem pertahanan yang kuat dan maju. Selain itu, kemampuan mandiri di sektor pertahanan menciptakan deterrent effect bagi pihak luar karena Indonesia dinilai mampu memasok kebutuhan militernya sendiri tanpa khawatir aksesnya ditutup oleh negara lain. ""Hal ini meningkatkan posisi tawar Indonesia secara diplomatis. Pemerintah Indonesia telah menempatkan kemandirian pertahanan sebagai visi strategis jangka panjang,"" ucapnya.",Hukum Kriminal,Peristiwa
"Anggota Komisi I DPR, TB Hasanuddin mengingatkan agar aparat tidak menggunakan cara kekerasan dalam merespons pengibaran bendera Bulan Bintang yang identik dengan Gerakan Aceh Merdeka ( GAM ) di beberapa wilayah di Aceh baru-baru ini. Hasanuddin menilai pemerintah dan aparat perlu melihat fenomena itu sebagai gejala sosial yang harus disikapi secara bijak, tenang, dan proporsional. ""Pengibaran bendera GAM ini merupakan gejala sosial. Kita berharap penyelesaiannya tidak dilakukan dengan kekerasan, apalagi menggunakan senjata. Pendekatan yang tepat adalah dialog dan langkah persuasif dengan sebaik-baiknya,"" ujar dia dalam keterangannya, Minggu (27/12). Politikus PDIP itu menilai pemerintah saat ini mestinya fokus pada penanganan dan rehabilitasi terhadap para korban bencana. Mereka dinilai lebih membutuhkan kehadiran negara ketimbang suasana yang memicu ketegangan. ""Masyarakat membutuhkan kehadiran negara untuk membantu mereka bangkit, bukan suasana yang justru berpotensi memicu ketegangan,"" katanya. Dia pun mengajak masyarakat untuk menahan diri dan tidak terpancing oleh provokasi yang dapat memperkeruh situasi. Hasanuddin mengingatkan pentingnya menjaga perdamaian Aceh yang dibangun melalui proses panjang dan pengorbanan besar. ""Perdamaian adalah aset yang sangat berharga. Mari kita jaga bersama dengan mengedepankan dialog, kemanusiaan, dan kepentingan rakyat Aceh,"" kata dia. Aksi pembubaran paksa yang dilakukan TNI terhadap iring-iringan warga sambil mengibarkan bendera GAM berbuntut panjang. Video itu sempat viral di media sosial pada 25-26 Desember. Kepala Pusat Penerangan TNI Mayjen (Mar) Freddy Ardianzah mengatakan dalam tindakannya, aparat TNI-Polri telah mengutamakan langkah persuasif dengan mengimbau agar aksi dihentikan dan bendera diserahkan. Namun, kata dia, imbauan itu tidak diindahkan, sehingga aparat melakukan pembubaran dengan mengamankan bendera guna mencegah eskalasi situasi. Freddy menyebut setelahnya, salah satu pelaku kemudian diserahkan kepada pihak kepolisian untuk diproses sesuai hukum yang berlaku. ""Korlap aksi demo menyatakan bahwa kejadian tersebut hanya selisih paham dan sepakat berdamai dengan aparat. TNI menghimbau agar masyarakat tidak mudah terprovokasi oleh informasi yang belum terverifikasi kebenarannya,"" ucap dia.",Politik,Hukum Kriminal
"Forum Solidaritas Hakim Ad Hoc (FSHA) Indonesia bertemu dengan Komisi III DPR untuk melaporkan sejumlah masalah dan beban kerja mereka, termasuk soal tunjangan mereka yang tak naik dalam 13 tahun terakhir. Perwakilan FSHA, Ade Darussalam mengatakan hakim ad hoc selama ini juga tak memiliki gaji pokok. Mereka hanya mendapat penghasilan dari tunjangan kehormatan. ""Hakim ad hoc itu sumber penghasilannya hanya tunjangan kehormatan itu. Tidak punya gaji pokok, tidak punya tunjangan apa pun yang berkaitan dengan tugas pokok fungsinya,"" kata Ade di Kompleks Parlemen Senayan, Jakarta, Rabu (14/1). Ade menyebut besaran tunjangan kehormatan tak berubah dalam 13 tahun terakhir. Padaha dalam undang-undang, kata Ade, hakim ad hoc mestinya turut menerima tunjangan rumah dinas. Tapi, hakim ad hoc harus mengalah jika hakim karir menerima tunjangan rumah dinas yang sama. ""Tepatnya kurang lebih 13 tahun hakim ad hoc itu tidak pernah mengalami perubahan kesejahteraan,"" ujarnya. FSHA juga mengeluhkan status hakim ad hoc yang belum memiliki payung hukum. Akibatnya, kebijakan hakim ad hoc kerap dipertanyakan dan ditafsirkan semena-mena. Wakil Ketua Komisi III DPR, I Wayan Sudirta selaku pimpinan rapat berjanji bakal menindaklanjuti aspirasi para hakim ad hoc. Namun, dia berharap mereka tak melakukan mogok kerja. ""Karena kehadiran saudara, dalam majelis tertentu imperatif, mengikat sifatnya, tanpa kehadiran saudara sidang-sidang enggak bisa berlangsung, boleh dong imbalannya kami menghimbau jangan ada mogok sidang,"" katanya. Sementara, dalam kesimpulannya, Komisi III meminta kementerian terkait dan Mahkamah Agung (MA) mengevaluasi Peraturan Presiden Nomor 5 Tahun 2013 juncto Peraturan Presiden Nomor 42 Tahun 2023 tentang Hak Keuangan dan Fasilitas Hakim Ad Hoc. Evaluasi itu dilakukan khususnya perihal pemenuhan hak fasilitas tunjangan untuk Hakim Ad Hoc, seperti tunjangan keluarga, beras, jaminan kesehatan, dan hak-hak non-gaji lainnya. ""Dua, Komisi III DPR RI meminta MA memberikan perlindungan bagi Hakim Ad Hoc yang melakukan penyampaian aspirasi sepanjang sejalan dengan peraturan perundang-undangan yang berlaku,"" katanya.",Hukum Kriminal,Politik
